82.0,29.96,6329.0
82.03,29.93,6333.0
82.03,29.96,6339.0
82.03,29.93,6342.0
82.03,29.95,6348.0
82.0,29.9,6947.0
81.97,29.9,6953.0
82.0,29.9,6971.0
82.0,24.01,6977.0
81.94,24.05,7311.0
81.94,21.05,7316.0
81.97,21.07,7915.0
81.97,21.07,7920.0
81.91,21.05,8519.0
81.88,21.05,8524.0
81.88,21.05,9123.0
81.88,21.05,9129.0
81.88,21.05,9728.0
81.91,21.05,9735.0
81.91,21.03,10334.0
81.91,21.03,10340.0
81.85,21.03,10581.0
81.85,23.01,10587.0
81.85,23.01,11187.0
81.88,22.99,11192.0
81.88,22.99,11792.0
81.88,22.98,11798.0
81.85,22.96,12396.0
81.85,22.97,12402.0
81.85,22.97,13001.0
81.82,22.97,13007.0
81.82,22.96,13535.0
81.82,27.0,13541.0
81.82,26.93,14139.0
81.82,26.95,14146.0
81.85,26.91,14746.0
81.85,26.93,14752.0
81.85,26.91,15351.0
81.85,26.91,15358.0
81.85,26.91,15956.0
81.8,26.91,15962.0
81.82,26.88,16561.0
81.8,26.88,16566.0
81.82,26.88,16876.0
81.82,29.96,16881.0
81.82,29.93,17481.0
81.82,29.95,17486.0
81.82,29.91,18086.0
81.8,29.91,18092.0
81.82,29.88,18690.0
81.82,29.9,18696.0
81.82,29.88,19295.0
81.82,29.9,19301.0
81.82,29.87,19899.0
81.82,29.86,19904.0
81.8,29.87,19922.0
81.82,12.61,19928.0
81.8,12.64,19937.0
26.12,12.66,19943.0
26.35,12.71,20541.0
26.33,12.71,20547.0
26.38,12.71,21145.0
26.38,12.72,21151.0
26.38,12.72,21251.0
26.38,14.0,21257.0
26.38,13.98,21273.0
24.06,13.99,21278.0
24.08,13.98,21500.0
24.08,14.01,21506.0
24.08,14.01,21510.0
24.1,15.0,21515.0
24.1,15.0,21756.0
1.0,15.0,21762.0
1.01,15.0,22360.0
1.01,15.0,22366.0
1.01,15.0,22965.0
1.01,15.0,22971.0
1.02,15.0,23571.0
1.02,15.0,23576.0
1.02,15.0,24176.0
1.02,15.0,24181.0
1.02,15.0,24781.0
1.02,15.0,24786.0
1.02,15.0,25386.0
1.02,14.99,25391.0
1.02,15.0,25990.0
1.02,15.0,25996.0
1.02,15.0,26594.0
1.02,14.99,26600.0
1.02,14.99,26767.0
110.38,14.99,26772.0
108.88,15.0,26782.0
108.48,23.0,26788.0
107.68,22.91,27387.0
107.68,22.91,27392.0
107.58,22.91,27990.0
107.58,22.89,27996.0
107.48,22.89,28595.0
107.48,22.9,28602.0
107.51,22.88,29066.0
107.48,30.0,29072.0
107.51,29.9,29672.0
107.54,29.9,29678.0
107.48,29.87,30277.0
107.54,29.85,30283.0
107.48,29.85,30882.0
107.48,29.85,30887.0
107.54,29.85,30957.0
107.51,49.86,30963.0
107.54,49.64,31562.0
107.51,49.67,31567.0
107.51,49.65,32167.0
107.51,49.62,32173.0
107.51,49.57,32772.0
107.48,49.6,32779.0
107.51,49.57,33378.0
107.48,49.6,33384.0
107.51,49.57,33712.0
107.48,39.99,33718.0
107.51,40.02,34296.0
107.51,35.04,34302.0
107.51,35.07,34900.0
107.51,35.07,34906.0
107.45,35.07,35505.0
107.48,35.07,35511.0
107.48,35.04,36110.0
107.45,35.04,36116.0
107.48,35.04,36716.0
107.48,35.04,36721.0
107.45,35.04,37321.0
107.48,35.04,37326.0
107.48,35.04,37421.0
107.45,44.93,37426.0
107.45,44.93,37430.0
107.48,49.84,37435.0
107.48,49.87,38035.0
107.48,49.87,38041.0
107.48,49.87,38639.0
107.45,49.84,38645.0
107.41,49.87,38979.0
112.95,49.87,38985.0
112.95,49.87,39584.0
112.95,49.87,39590.0
112.92,49.84,40188.0
112.89,49.87,40194.0
112.95,49.84,40792.0
112.92,49.87,40798.0
112.92,49.89,41397.0
112.92,49.87,41403.0
112.92,49.84,41897.0
70.23,49.84,41903.0
70.33,49.84,41914.0
70.33,30.04,41920.0
70.23,30.09,42519.0
70.23,30.09,42524.0
70.23,30.09,43124.0
70.2,30.09,43130.0
70.2,30.09,43729.0
70.2,30.09,43735.0
70.2,30.09,43992.0
65.08,30.09,43998.0
65.08,30.09,44344.0
65.08,30.09,44350.0
65.08,30.09,44420.0
60.1,30.09,44426.0
60.13,30.07,45026.0
60.15,30.07,45031.0
60.13,30.07,45630.0
60.13,30.07,45636.0
60.1,30.07,46236.0
60.13,30.07,46241.0
60.13,30.07,46301.0
56.08,30.07,46307.0
56.08,30.07,46906.0
56.08,30.07,46911.0
56.08,30.07,47510.0
56.08,30.07,47515.0
56.08,30.07,48114.0
56.08,30.07,48119.0
56.08,30.04,48718.0
56.08,30.07,48724.0
56.08,30.07,49324.0
56.05,30.04,49329.0
56.05,30.04,49929.0
56.05,30.07,49935.0
56.05,30.04,50535.0
56.05,30.04,50540.0
56.05,30.04,51139.0
56.05,30.04,51146.0
56.05,30.04,51744.0
56.05,30.04,51750.0
56.05,30.04,52348.0
56.05,30.04,52354.0
56.05,30.04,52952.0
56.05,30.04,52957.0
56.03,30.04,53557.0
56.05,30.04,53562.0
56.03,30.04,54162.0
56.05,30.04,54168.0
56.05,30.04,54767.0
56.03,30.04,54773.0
56.03,30.04,55372.0
56.03,30.04,55378.0
56.03,30.04,55977.0
56.03,30.04,55983.0
56.03,30.04,56581.0
56.03,30.04,56587.0
56.03,30.04,57186.0
56.05,30.04,57192.0
56.03,30.04,57790.0
56.03,30.04,57796.0
56.03,30.04,58395.0
56.03,30.04,58400.0
56.03,30.04,58998.0
56.03,30.04,59004.0
56.03,30.04,59603.0
56.03,30.04,59608.0
56.03,30.04,60208.0
56.03,30.04,60215.0
56.03,30.04,60813.0
56.03,30.04,60819.0
56.03,30.04,61418.0
56.03,30.04,61424.0
56.03,30.04,62023.0
56.03,30.04,62029.0
56.03,30.04,62628.0
56.03,30.04,62634.0
56.03,30.04,63232.0
56.03,30.04,63239.0
56.03,30.04,63837.0
56.03,30.04,63842.0
56.03,30.04,64441.0
56.03,30.04,64447.0
56.03,30.04,65047.0
56.03,30.04,65053.0
56.03,30.04,65652.0
56.03,30.04,65658.0
56.03,30.04,66258.0
56.03,30.04,66263.0
56.03,30.04,66862.0
56.03,30.04,66868.0
56.03,30.04,67467.0
56.03,30.04,67473.0
56.03,30.04,68071.0
56.03,30.04,68077.0
56.03,30.04,68677.0
56.03,30.04,68683.0
56.03,30.04,69282.0
56.03,30.04,69288.0
56.03,30.04,69887.0
56.03,30.04,69893.0
56.03,30.04,70492.0
56.03,30.04,70498.0
56.03,30.04,71097.0
56.03,30.04,71104.0
56.03,30.04,71703.0
56.03,30.04,71709.0
56.03,30.04,72309.0
56.03,30.04,72314.0
56.01,30.04,72913.0
56.03,30.04,72919.0
56.03,30.04,73518.0
56.03,30.04,73524.0
56.03,30.04,74123.0
56.01,30.04,74129.0
56.03,30.04,74727.0
56.05,30.04,74734.0
56.03,30.04,75333.0
56.03,30.04,75339.0
56.03,30.04,75939.0
56.03,30.04,75945.0
56.03,30.04,76543.0
56.01,30.04,76549.0
56.03,30.04,77148.0
56.03,30.04,77154.0
56.03,30.04,77753.0
56.03,30.04,77760.0
56.01,30.04,78358.0
56.03,30.04,78364.0
56.03,30.04,78963.0
56.03,30.04,78968.0
56.01,30.04,79567.0
56.03,30.04,79573.0
56.03,30.04,80171.0
56.03,30.04,80177.0
56.03,30.04,80776.0
56.03,30.04,80781.0
56.03,30.04,81380.0
56.01,30.04,81387.0
56.03,30.04,81985.0
56.01,30.04,81991.0
56.03,30.04,82590.0
56.01,30.04,82596.0
56.03,30.04,83195.0
56.03,30.04,83200.0
56.01,30.04,83799.0
56.03,30.04,83805.0
56.03,30.04,84403.0
56.03,30.04,84408.0
56.01,30.04,85006.0
56.01,30.04,85012.0
56.03,30.04,85612.0
56.03,30.04,85618.0
56.03,30.04,86216.0
56.03,30.04,86222.0
56.03,30.04,86822.0
56.01,30.04,86828.0
56.03,30.03,87427.0
56.01,30.03,87432.0
56.01,30.04,88031.0
56.01,30.04,88036.0
56.03,30.04,88636.0
56.01,30.04,88642.0
56.03,30.04,89242.0
56.03,30.04,89248.0
56.05,30.04,89848.0
56.01,30.04,89854.0
56.01,30.04,90453.0
56.01,30.04,90458.0
56.01,30.04,91057.0
56.03,30.04,91062.0
56.03,30.04,91662.0
56.01,30.04,91667.0
56.01,30.04,92265.0
56.01,30.04,92272.0
56.01,30.04,92871.0
56.03,30.04,92877.0
56.01,30.04,93475.0
56.01,30.04,93480.0
56.01,30.04,94080.0
56.01,30.04,94086.0
56.01,30.04,94684.0
56.01,30.04,94690.0
56.01,30.04,95288.0
56.03,30.04,95294.0
56.03,30.04,95894.0
56.03,30.04,95899.0
56.01,30.04,96499.0
56.01,30.04,96506.0
56.01,30.04,97104.0
56.01,30.04,97110.0
56.03,30.04,97710.0
56.01,30.04,97715.0
56.01,30.04,98315.0
56.01,30.04,98321.0
56.03,30.04,98921.0
56.03,30.04,98927.0
56.01,30.04,99525.0
56.03,30.04,99530.0
56.01,30.04,100129.0
56.01,30.04,100135.0
56.03,30.04,100734.0
56.01,30.04,100739.0
56.01,30.04,101338.0
56.01,30.04,101344.0
56.03,30.04,101943.0
56.03,30.04,101949.0
56.01,30.04,102223.0
0.0,0.0,102228.0
0.0,0.0,102827.0
0.0,0.0,102833.0
0.0,0.0,103431.0
0.0,0.0,103437.0
0.0,0.0,104036.0
0.0,0.0,104042.0
0.0,0.0,104641.0
0.0,0.0,104647.0
0.0,0.0,105245.0
0.0,0.0,105251.0
0.0,0.0,105850.0
0.0,0.0,105856.0
0.0,0.0,106454.0
0.0,0.0,106460.0
